episode_id,success,had_recovery,recovery_count,recovery_frames,last_recovery_reason,follower_stuck_incident,target_low_motion_incident,episode_length,tracking_rate,collision,initial_dist,final_dist,avg_dist,avg_heading_error_deg,done_reason
0,0,0,0,0,,0,0,600,0.5183333333333333,0,1.0572319235443466,1.7600838389899232,1.8689471584205921,46.294330986525395,max_steps
1,0,0,0,0,,0,0,600,0.09333333333333334,0,1.0514610789016412,5.29858784116379,4.704153836908529,7.04614248800814,max_steps
0,0,0,0,0,,0,0,600,0.095,0,1.0572322082514423,6.212301527228223,5.670324064565899,56.43432756157233,max_steps
1,0,0,0,0,,0,0,600,0.07666666666666666,0,1.4339703423061374,7.308980866634372,5.926134858770764,101.52358559382515,max_steps
0,0,0,0,0,,0,0,9,1.1111111111111112,0,1.0516191309981375,1.049674266943701,1.0522558205829866,5.253985485659692,controller_not_running
1,0,0,0,0,,0,0,9,0.1111111111111111,0,2.590121087325727,0.8279595221343649,0.9930288862822032,156.25956539516392,controller_not_running
0,0,0,0,0,,0,0,9,1.1111111111111112,0,1.0516191309981375,1.049674266943701,1.0522558205829866,5.253985485659692,controller_not_running
1,0,0,0,0,,0,0,9,0.1111111111111111,0,2.590121087325727,0.8279595221343649,0.9930288862822032,156.25956539516392,controller_not_running
0,0,0,0,0,,0,0,9,1.1111111111111112,0,1.0490608132527293,1.1007670938844996,1.058873159924462,5.515366843615344,controller_not_running
1,0,0,0,0,,0,0,9,0.0,0,5.096951534677905,1.4870610498797197,1.871263763394781,66.09843216391677,controller_not_running
0,1,0,0,0,,0,0,300,0.8166666666666667,1,1.0572319235443466,1.009666047708608,1.235855472565248,6.328432668852134,max_steps
1,0,0,0,0,,0,0,300,0.6366666666666667,4,1.0514610789016412,2.8515898277302827,2.3176392550465517,1.422960981268314,max_steps
0,0,1,1,12,stuck_static_or_navmesh_local_escape,0,0,300,0.22333333333333333,73,1.0572322082514423,6.394068446761964,4.613875551750339,3.8632659709878423,had_recovery
1,0,0,0,0,,0,0,300,0.33666666666666667,0,1.4339703423061374,8.108792041647584,5.063815931127598,33.13331541659066,max_steps
